Team,GP,W,L,Tie,W_PCT
New England Patriots,316,224,92,0,0.709
Denver Broncos,307,214,93,0,0.697
Pittsburgh Steelers,305,212,92,1,0.695
Green Bay Packers,307,209,95,3,0.681
Baltimore Ravens,207,141,65,1,0.681
Minnesota Vikings,298,196,102,0,0.658
Kansas City Chiefs,300,193,107,0,0.643
San Francisco 49er's,306,196,109,1,0.641
Seattle Seahawks,301,193,108,0,0.641
Buffalo Bills,297,181,116,0,0.609
Indianapolis Colts,300,181,119,0,0.603
Philadelphia Eagles,305,181,122,2,0.593
Dallas Cowboys,300,179,121,0,0.597
Miami Dolphins,294,175,119,0,0.595
Tennessee Titans,296,171,125,0,0.578
Chicago Bears,303,175,128,0,0.578
New York Giants,301,171,130,0,0.568
New Orleans Saints,296,168,128,0,0.568
Los Angeles Chargers,293,158,135,0,0.539
Atlanta Falcons,294,158,135,1,0.537
Carolina Panthers,215,115,100,0,0.535
Houston Texans,158,83,75,0,0.525
Washington Football Team,295,154,140,1,0.522
Jacksonville Jaguars,205,107,98,0,0.522
Cincinnati Bengals,294,150,142,2,0.510
Los Angeles Rams,291,149,142,0,0.512
Arizona Cardinals,290,146,142,2,0.503
Las Vegas Raiders,291,146,145,0,0.502
New York Jets,292,145,146,1,0.497
Tampa Bay Buccaneers,292,140,152,0,0.479
Detroit Lions,289,138,151,0,0.478
Cleveland Browns,268,119,147,2,0.444
