Stadium_Name,Team,Latitude,Longitude
MetLife Stadium,New York Giants,40.813611,-74.074444
MetLife Stadium,New York Jets,40.813611,-74.074444
Lambeau Field,Green Bay Packers,44.501389,-88.062222
AT&T Stadium,Dallas Cowboys,32.747778,-97.092778
FedEx Field,Washington Football Team,38.907778,-76.864444
Arrowhead Stadium,Kansas City Chiefs,39.048889,-94.483889
Empower Field At Mile High,Denver Broncos,39.743889,-105.02
Hard Rock Stadium,Miami Dolphins,25.958056,-80.238889
Bank of America Stadium,Carolina Panthers,35.225833,-80.852778
Mercedes-Benz Superdome,New Orleans Saints,29.950833,-90.081111
FirstEnergy Stadium,Cleveland Browns,41.506111,-81.699444
Ralph Wilson Stadium,Buffalo Bills,42.773611,-78.786944
Nissan Stadium,Tennessee Titans,36.166389,-86.771389
Gillette Stadium,New England Patriots,42.090944,-71.26344
Lincoln Financial Field,Philadelphia Eagles,39.900833,-75.1675
Levis Stadium,San Francisco 49ers,37.403,121.97
EverBank Field,Jacksonville Jaguars,30.323889,-81.6375
CenturyLink Field,Seattle Seahawks,47.595278,-122.331667
Raymond James Stadium,Tampa Bay Buccaneers,27.975833,-82.503333
Paul Brown Stadium,Cincinnati Bengals,39.095444,-84.516039
Heinz Field,Pittsburgh Steelers,40.446667,-80.015833
Ford Field,Detroit Lions,42.34,-83.045556
University of Phoenix Stadium,Arizona Cardinals,33.5275,-112.2625
Lucas Oil Stadium,Indianapolis Colts,39.760056,-86.163806
Allegiant Stadium,Las Vegas Raiders,36.0909,-115.1833
Mercedes-Benz Stadium,Atlanta Falcons,33.7552,-84.4009
NRG Stadium,Houston Texans,29.6849,-95.4109
M&T Bank Stadium,Baltimore Ravens,39.2781,-76.6227
SoFi Stadium,Los Angeles Rams,33.9534,-118.3387
SoFi Stadium,Los Angeles Chargers,33.9534,-118.3387
Soldier Field,Chicago Bears,41.8623,-87.6167
U.S. Bank Stadium,Minnesota Vikings,44.9735,-93.2575
