Stadium_Name,Team,Latitude,Longitude
Bridgestone Arena,Nashville Predators,36.15917,-86.77861
BB&T Center,Florida Panthers,26.15833,-80.32556
Bell Centre,Montreal Canadiens,45.49611,-73.56944
American Airlines Center,Dallas Stars,32.79056,-96.81028
Air Canada Centre,Toronto Maple Leafs,43.64333,-79.37917
Consol Energy Center,Pittsburgh Penguins,40.43944,-79.98917
Honda Center,Anaheim Ducks,33.80778,-117.87667
Jobing.com Arena,Arizona Coyotes,33.53194,-112.26111
First Niagara Center,Buffalo Sabres,42.875,-78.87639
HP Pavilion at San Jose,San Jose Sharks,37.33278,-121.90111
MTS Centre,Winnipeg Jets,49.89278,-97.14361
Joe Louis Arena,Detroit Red Wings,42.32528,-83.05139
Nassau Veterans Memorial Coliseum,New York Islanders,40.72278,-73.59056
Nationwide Arena,Columbus Blue Jackets,39.9692833,-83.00611
Pepsi Center,Colorado Avalanche,39.74861,-105.0075
PNC Arena,Carolina Hurricanes,35.80333,-78.72194
Madison Square Garden,New York Rangers,40.75056,-73.99361
Rexall Place,Edmonton Oilers,53.57139,-113.45611
Rogers Arena,Vancouver Canucks,49.27778,-123.10889
Scotiabank Place,Ottawa Senators,45.29694,-75.92722
Prudential Center,New Jersey Devils,40.73361,-74.17111
Scotiabank Saddledome,Calgary Flames,51.0375,-114.05194
Staples Center,Los Angeles Kings,34.04306,-118.26722
Tampa Bay Times Forum,Tampa Bay Lightning,27.94278,-82.45194
United Center,Chicago Blackhawks,41.88056,-87.67417
TD Garden,Boston Bruins,42.3663028,-71.0622278
Wells Fargo Center,Philadelphia Flyers,39.90111,-75.17194
Xcel Energy Center,Minnesota Wild,44.94472,-93.10111
Verizon Center,Washington Capitals,38.89806,-77.02083
T-Mobile Arena,Las Vegas Golden Knights,36.1029,-115.1784
Scottrade Center,St. Louis Blues,38.62667,-90.2025
