date,number_of_game,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,,,,,,,,,,
20161002,0,Sun,HOU,AL,162,ANA,AL,162,1,8,,,,,,,,,,
20161002,0,Sun,TOR,AL,162,BOS,AL,162,2,1,,,,,,,,,,
20161002,0,Sun,MIN,AL,162,CHA,AL,162,6,3,,,,,,,,,,
20161002,0,Sun,CLE,AL,161,KCA,AL,162,3,2,,,,,,,,,,
20161002,0,Sun,BAL,AL,162,NYA,AL,162,5,2,,,,,,,,,,
20161002,0,Sun,OAK,AL,162,SEA,AL,162,3,2,,,,,,,,,,
20161002,0,Sun,TBA,AL,162,TEX,AL,162,6,4,,,,,,,,,,
20161002,0,Sun,SDN,NL,162,ARI,NL,162,2,3,,,,,,,,,,
20161002,0,Sun,DET,AL,161,ATL,NL,161,0,1,,,,,,,,,,
20161002,0,Sun,CHN,NL,162,CIN,NL,162,7,4,,,,,,,,,,
20161002,0,Sun,MIL,NL,162,COL,NL,162,6,4,,,,,,,,,,
20161002,0,Sun,NYN,NL,162,PHI,NL,162,2,5,,,,,,,,,,
20161002,0,Sun,LAN,NL,162,SFN,NL,162,1,7,,,,,,,,,,
20161002,0,Sun,PIT,NL,162,SLN,NL,162,4,10,,,,,,,,,,
20161002,0,Sun,MIA,NL,161,WAS,NL,162,7,10,,,,,,,,,,
20161001,0,Sat,HOU,AL,161,ANA,AL,161,3,0,,,,,,,,,,
20161001,0,Sat,TOR,AL,161,BOS,AL,161,4,3,,,,,,,,,,
20161001,0,Sat,MIN,AL,161,CHA,AL,161,6,0,,,,,,,,,,
20161001,0,Sat,CLE,AL,160,KCA,AL,161,6,3,,,,,,,,,,
20161001,0,Sat,BAL,AL,161,NYA,AL,161,3,7,,,,,,,,,,
20161001,0,Sat,OAK,AL,161,SEA,AL,161,9,8,,,,,,,,,,
20161001,0,Sat,TBA,AL,161,TEX,AL,161,4,1,,,,,,,,,,
20161001,0,Sat,SDN,NL,161,ARI,NL,161,5,9,,,,,,,,,,
20161001,0,Sat,DET,AL,160,ATL,NL,160,3,5,,,,,,,,,,
20161001,0,Sat,CHN,NL,161,CIN,NL,161,4,7,,,,,,,,,,
20161001,0,Sat,MIL,NL,161,COL,NL,161,4,3,,,,,,,,,,
20161001,0,Sat,NYN,NL,161,PHI,NL,161,5,3,,,,,,,,,,
20161001,0,Sat,LAN,NL,161,SFN,NL,161,0,3,,,,,,,,,,
20161001,0,Sat,PIT,NL,161,SLN,NL,161,3,4,,,,,,,,,,
20161001,0,Sat,MIA,NL,160,WAS,NL,161,1,2,,,,,,,,,,
20160930,0,Fri,HOU,AL,160,ANA,AL,160,1,7,,,,,,,,,,
20160930,0,Fri,TOR,AL,160,BOS,AL,160,3,5,,,,,,,,,,
20160930,0,Fri,MIN,AL,160,CHA,AL,160,3,7,,,,,,,,,,
20160930,0,Fri,CLE,AL,159,KCA,AL,160,7,2,,,,,,,,,,
20160930,0,Fri,BAL,AL,160,NYA,AL,160,8,1,,,,,,,,,,
20160930,0,Fri,OAK,AL,160,SEA,AL,160,1,5,,,,,,,,,,
20160930,0,Fri,TBA,AL,160,TEX,AL,160,1,3,,,,,,,,,,
20160930,0,Fri,SDN,NL,160,ARI,NL,160,3,5,,,,,,,,,,
20160930,0,Fri,DET,AL,159,ATL,NL,159,6,2,,,,,,,,,,
20160930,0,Fri,CHN,NL,160,CIN,NL,160,7,3,,,,,,,,,,
20160930,0,Fri,MIL,NL,160,COL,NL,160,1,4,,,,,,,,,,
20160930,0,Fri,NYN,NL,160,PHI,NL,160,5,1,,,,,,,,,,
20160930,0,Fri,LAN,NL,160,SFN,NL,160,3,9,,,,,,,,,,
20160930,0,Fri,PIT,NL,160,SLN,NL,160,0,7,,,,,,,,,,
20160930,0,Fri,MIA,NL,159,WAS,NL,160,7,4,,,,,,,,,,
20160929,0,Thu,TBA,AL,159,CHA,AL,159,5,3,,,,,,,,,,
